Nominative,Genitive,Gender,Declension,EnglishMeanings
sculptūra,sculptūrae,f,I,sculpture
scūtum,scūti,n,II,shield
sectiō,sectiōnis,f,III,"section, act of division"
secūtiō,secūtiōnis,f,III,act of following
sella,sellae,f,I,seat
senātor,senātōris,m,III,senator (m.)
senātrīx,senātrīcis,f,III,senator (f.)
senectūs,senectūtis,f,III,old age
sēnsus,sēnsūs,m,IV,"sense, feeling"
septentriō,septentriōnis,m,III,north
sequentia,sequentiae,f,I,sequence
seriēs,seriēī,f,V-long,"row, series"
serpēns,serpentis,u,III-i,snake
serva,servae,f,I,slave (f.)
servātiō,servātiōnis,f,III,act of keeping or guarding
servātor,servātōris,u,III,one who keeps or guards
servitium,servitiī,n,II,service
servitūs,servitūtis,f,III,slavery
servus,servī,m,II,slave (m.)
sessiō,sessiōnis,f,III,"session, act of sitting"
sexus,sexūs,m,IV,"sex, gender"
siccitās,siccitātis,f,III,dryness
silva,silvae,f,I,"forest, wood"
sīmia,sīmiae,u,I,monkey
similitudō,similitudinis,f,III,"similitude, likeness"
somnolentia,somnolentiae,f,I,"somnolence, sleepiness"
somnus,somnī,m,II,sleep
soror,sorōris,f,III,sister
sōrs,sortis,f,III-i,"lot, fate"
speciēs,speciēī,f,V-long,appearance
spectāculum,spectāculī,n,II,"spectacle, show"
spectātiō,spectātiōnis,f,III,act of watching
spectātor,spectātōris,u,III,"spectator, watcher"
spērātiō,spērātiōnis,f,III,act of hoping
spēs,speī,f,V-short,hope
spīna,spīnae,f,I,"spine, thorn"
spīrātiō,spīrātiōnis,f,III,act of breathing
spīrātor,spīrātōris,u,III,one who breathes
spīritus,spīritūs,m,IV,"spirit, wind, breath"
stātiō,stātiōnis,f,III,"station, act of standing"
stātua,stātuae,f,I,statue
stātus,stātūs,m,IV,"status, standing"
stomachus,stomachī,m,II,stomach
strīx,strīgis,u,III,screech owl
structūra,structūrae,f,I,"structure, building"
strūthiō,strūthiōnis,u,III,ostrich
studium,studiī,n,II,"zeal, enthusiasm"
suāsiō,suāsiōnis,f,III,act of persuading
suāsor,suāsōris,u,III,persuader
sūs,suis,u,III,"sow, swine"
taberna,tabernae,f,I,"shop, market stall"
taedium,taediī,n,II,boredom
talus,talī,m,II,heel
tarditās,tarditātis,f,III,slowness
taurus,taurī,m,II,bull
tempestās,tempestātis,f,III,"storm, weather"
templum,templī,n,II,temple
temptātiō,temptātiōnis,f,III,"temptation, act of testing"
tempus,temporis,n,III,time
tentiō,tentiōnis,f,III,act of holding
tenuitās,tenuitātis,f,III,tenderness
